id@ Name@ Creation_year@ Adress
78@ ihekgiaxcz@ 1968@ Hiroshima, Street rdfz, 23
79@ uertjiz@ 1917@ Osaka, Street bmmeboygi, 12
80@ joxtak@ 1986@ Kyoto, Street erc, 20
81@ nvgz@ 1971@ Osaka, Street uxysctz, 26
82@ fslkpwz@ 1932@ Sakura, Street zhmxxqhpaj, 17
83@ iyygz@ 1906@ Osaka, Street zrmor, 15
84@ xeb@ 1919@ Hiroshima, Street pcnjpo, 16
85@ msqqsau@ 1939@ Kyoto, Street xqqilnc, 28
86@ qkqwewov@ 1939@ Osaka, Street aydg, 24
87@ miaxkqn@ 1938@ Tokyo, Street jqxctvz, 2
88@ wdvl@ 1909@ Tokyo, Street wnjaoxg, 22
89@ jfln@ 1945@ Osaka, Street xuhpjfjch, 12
90@ oqobtm@ 1987@ Osaka, Street emernv, 28
91@ iju@ 1942@ Tokyo, Street rwpqmwfi, 3
92@ xoey@ 1995@ Sakura, Street olvvg, 6
93@ wghyji@ 1997@ Tokyo, Street djfggyc, 6
94@ bswrhiugxj@ 1910@ Kyoto, Street bfigbplf, 22
95@ iil@ 1998@ Hiroshima, Street mbp, 21
96@ lgnn@ 1975@ Hiroshima, Street sxlf, 7
97@ wdwowwldnj@ 1984@ Tokyo, Street efops, 27
98@ urmr@ 1928@ Tokyo, Street pdq, 7
99@ tybkg@ 1955@ Osaka, Street dzks, 19
100@ nwnezej@ 1970@ Osaka, Street nlwjoxh, 14
